798394,798399
245208,245213
99085,99090
656396,656401
20026,20031
838339,838344
11755,76798
21347,725493
38049,38275
43072,590224
51628,802393
51879,712336
63325,63606
78979,533747
100747,93284
102331,102329
106482,106497
108564,108532
126396,163964
145001,145018
195249,195262
197390,195839
206971,199318
215212,303776
239250,211776
243741,259418
273839,224875
277990,239885
293760,267517
310626,310618
314893,303335
339671,333380
351884,351885
361947,737041
367412,364741
371131,370438
378845,731973
406151,410537
437940,433590
466057,534104
471957,472030
482846,482845
485789,487732
485864,488446
488758,486205
488798,486965
497496,492558
501709,500661
502519,498522
519328,519340
528569,65713
534000,645535
557310,557327
558826,764031
561337,720526
561593,561663
563018,808841
578259,608849
584676,585031
608452,608401
623832,623826
629529,70156
643917,643931
665590,665607
674862,674855
696008,21842
703867,710256
704021,467550
709661,622505
712758,854643
719800,904794
719940,12232
726608,850604
727182,921451
732460,732509
738317,905230
744196,744181
750431,840725
750983,750966
759378,78913
763540,96209
777456,777658
809230,562754
812921,470714
836872,31605
847485,837277
850472,625640
850554,565693
854175,878084
862614,862621
869140,773423
869185,465910
878877,689493
148097,148100
786147,786149
443806,443811
918857,918858
368098,368100
454860,454861
669200,669287
